id;isbn;nombre;cantidad_total;cantidad_disponible
1;deposit enable;Mandatory Shoes Greens;67067;8923
2;Tuvalu payment;Handcrafted;71316;99995
3;indexing Credit Card Account;Handcrafted;2424;80693
4;Ball Integrated;Bedfordshire;34134;91101
5;Iowa;transmitter;15914;20566
6;contextually-based;Data Belize model;25375;84377
7;Maldives payment hack;Mission transmitting system;928;2376
8;Nigeria;Iranian Rial deposit;33044;6786
9;Distributed;bluetooth Lempira;21732;38823
10;bluetooth;capacitor Tools;63622;85519
