id;fecha_prestamo;fecha_entrega;fecha_entregado;observaciones
1;2020-11-28;2020-11-28;2020-11-28;../fake-data/blob/hipster.txt
2;2020-11-28;2020-11-28;2020-11-28;../fake-data/blob/hipster.txt
3;2020-11-28;2020-11-28;2020-11-28;../fake-data/blob/hipster.txt
4;2020-11-28;2020-11-28;2020-11-28;../fake-data/blob/hipster.txt
5;2020-11-28;2020-11-28;2020-11-28;../fake-data/blob/hipster.txt
6;2020-11-28;2020-11-27;2020-11-28;../fake-data/blob/hipster.txt
7;2020-11-28;2020-11-28;2020-11-28;../fake-data/blob/hipster.txt
8;2020-11-27;2020-11-28;2020-11-28;../fake-data/blob/hipster.txt
9;2020-11-28;2020-11-28;2020-11-28;../fake-data/blob/hipster.txt
10;2020-11-28;2020-11-28;2020-11-28;../fake-data/blob/hipster.txt
